variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-linear,LinearGAM (no log),1,0.4429869922146533,0.26085040308657415,0.5238254023322544,0.4245942199310591,27,3,8.141956614724748
gam-linear,LinearGAM (no log),2,0.4714137057805236,0.26639064575844706,0.4316420145346195,0.43024672800938935,50,4,7.658159811801866
gam-linear,LinearGAM (no log),3,0.4287304372365599,0.261621863345609,0.5181151393472165,0.43656849234594564,35,4,955.4585892798802
