run_name,eval_csv_name,data_idx,std_speed,max_speed,heading_change_per_sec,mean_acceleration,ml_ade_log
full_trainval_12ep_1seed,eval_epoch_12.csv,13538,0.010906259869881,1.1881572099499311,1.5084424860570353,0.0014333577888545,0.3390624305340336
full_trainval_12ep_1seed,eval_epoch_12.csv,23660,0.016326065717019,0.0626099033700388,25.081396727313987,-0.0022627686988708,0.12493579288561434
full_trainval_12ep_1seed,eval_epoch_12.csv,2863,0.0205581433701029,0.0701141925719904,103.74201094125789,-0.0010666666666414,0.06602728495708898
full_trainval_12ep_1seed,eval_epoch_12.csv,7191,0.1820143700704441,1.7641281132616788,5.236196255108182,0.0494385221018575,0.3022213574556839
full_trainval_12ep_1seed,eval_epoch_12.csv,4839,0.0823527199867289,1.829164836749526,4.720064602888657,-0.0073042020322751,0.4575428316224441
full_trainval_12ep_1seed,eval_epoch_12.csv,904,0.1675295960962074,0.4884669896729878,77.65857362726791,-0.0651289319563983,0.13164810287724876
full_trainval_12ep_1seed,eval_epoch_12.csv,1993,0.125493207174893,0.4523052066907975,59.26339628211424,-0.0182428101677567,0.1604300062486487
full_trainval_12ep_1seed,eval_epoch_12.csv,12611,0.0774252341905509,0.2536533067004017,38.02415287511804,-0.0296042325376529,0.05974206971457486
full_trainval_12ep_1seed,eval_epoch_12.csv,23539,0.0951659947654731,1.373574897848738,3.1809327379848873,0.0069362634881599,0.12285083283662572
full_trainval_12ep_1seed,eval_epoch_12.csv,150,0.4246428805688495,1.4877808978474525,9.71419255713272,0.141045228355776,0.24262786720083165
full_trainval_12ep_1seed,eval_epoch_12.csv,7143,0.1447736945070433,1.714424684843172,2.7101125085573035,-0.0135491680103364,0.28883222000685227
full_trainval_12ep_1seed,eval_epoch_12.csv,2502,0.3747423875278623,1.5080331561339866,37.88522673678018,0.0793541846138809,1.2527577232728717
full_trainval_12ep_1seed,eval_epoch_12.csv,16452,0.0847827988620577,0.3609764535255603,155.9216749841525,0.0408760761987691,0.10188655385533506
full_trainval_12ep_1seed,eval_epoch_12.csv,9643,0.4061391423960843,2.006406738425643,15.661264059011224,0.0595420461228346,0.6575816785423649
full_trainval_12ep_1seed,eval_epoch_12.csv,15988,0.1095662399575095,0.4387345438870561,121.36766998737266,-0.0044160532259271,0.3568793908114837
full_trainval_12ep_1seed,eval_epoch_12.csv,21647,0.1359774935854827,1.3534681377852211,1.9021873380590493,-0.0043963938396352,0.10669726701037129
full_trainval_12ep_1seed,eval_epoch_12.csv,6492,0.0405613980338286,1.5153639826788297,3.4208145560027843,-0.0109316882728176,0.7983457790132851
full_trainval_12ep_1seed,eval_epoch_12.csv,18258,0.0651679827154986,1.481033422985376,1.481918100821897,-0.0189519820369758,0.22634187094540548
full_trainval_12ep_1seed,eval_epoch_12.csv,21620,0.0594781365177174,1.3891594580897575,6.418722873264293,0.0279421743852437,0.36039648656720513
full_trainval_12ep_1seed,eval_epoch_12.csv,18799,0.0479475997564368,0.1667213243709629,46.22820212165016,0.021386235873408,0.1261180590487151
full_trainval_12ep_1seed,eval_epoch_12.csv,3526,0.0015009048066396,1.2100942112082955,0.4397012312990168,0.0005072040707328,0.07900673769274681
