variant_model_id,variant_name,outer_rmse_mean,outer_rmse_std,outer_mae_mean,outer_mae_std,outer_r2_mean,outer_r2_std
gam-gamma,GammaGAM,0.24436736449324128,0.0031544583274800944,0.15343299817962072,0.0010385947784105956,0.6544990428430425,0.008626263757720066
gam-linear-log,LinearGAM (log),0.25086009765569467,0.006633802191800727,0.16183125880228458,0.0022155131276825227,0.6360663763352268,0.0058929526085654835
gam-linear,LinearGAM (no log),0.2601734518612832,0.006837753169901636,0.17649224310551256,0.002027000919055354,0.608526866193143,0.0074477990910138325
