feature,global_rank,p_value,neg_log10_p_value,significant_0_05,importance_metric,importance_value,importance_ascending
attention_radius_m,1,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
heading_change_per_sec,2,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
history_sec,3,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
max_speed,4,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
mean_acceleration,5,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
min_neighbor_distance,6,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
prediction_sec,7,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
std_speed,8,1.1102230246251565e-16,15.954589770191003,True,p_value,1.1102230246251565e-16,True
