variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-linear-log,LinearGAM (log),1,0.24717980001720205,0.16184511420825393,0.633832631718432,0.2519094272957774,49,3,0.034826219262558085
gam-linear-log,LinearGAM (log),2,0.2468822667148335,0.15960885046527767,0.6427496369867964,0.25263467208274276,50,3,0.0010091397282799353
gam-linear-log,LinearGAM (log),3,0.25851822623504833,0.1640398117333222,0.6316168603004519,0.24869224482878619,50,4,0.023540018050956724
