variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-linear,LinearGAM (no log),1,0.2569045014973689,0.17711417806987645,0.6044538936736841,0.262766010111438,42,3,0.04444037219039801
gam-linear,LinearGAM (no log),2,0.2555837531180356,0.17422714400009548,0.6171229166489076,0.2617707346589375,50,4,0.4966998746792923
gam-linear,LinearGAM (no log),3,0.26803210096844504,0.1781354072465657,0.6040037882568374,0.2566137277845795,47,3,0.003997613372134379
