variant_model_id,variant_name,outer_rmse_mean,outer_rmse_std,outer_mae_mean,outer_mae_std,outer_r2_mean,outer_r2_std
gam-linear-log,LinearGAM (log),0.4449488374927915,0.01729896136780577,0.24953230977227,0.004019978913169089,0.49806219171419447,0.03473570362105811
gam-gamma,GammaGAM,0.4451702237136124,0.010353218105027923,0.25276548444247704,0.001639834949226569,0.49798699107538374,0.0066932110423656285
gam-linear,LinearGAM (no log),0.4477103784105789,0.02173012048438586,0.2629543040635434,0.0030008533646143994,0.4911941854046968,0.0516526627323678
