outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.3934669630647465,0.2150464577976746,0.6244071040963852,0.18182047435408485,1996,0.010067309138648877,9,1,0.9000757895802944,0.8901193306783923,0.0028345299438717825,2.8122513730580543e-05
2,0.3901779938679429,0.2142081615567024,0.6167323655212621,0.1829037231818116,1628,0.010139529553137214,9,13,0.8748718450572615,0.9183070269831904,1.0544288268781243e-08,0.012569384307046728
3,0.3785166780175456,0.2105491505109487,0.6299854051189974,0.1808992126588479,675,0.0382412747065437,10,1,0.7420106644121576,0.9779798224663019,1.2656431433584027e-08,0.18899547871798547
