outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.39025256979064366,0.22213218118585876,0.6305187826514632,0.39680573770084493,1874,0.010067309138648877,9,1,0.9000757895802944,0.8901193306783923,0.0028345299438717825,2.8122513730580543e-05
2,0.39157731793246914,0.2218262625440459,0.6139783540361079,0.39859409218743574,723,0.024734912536302115,10,20,0.935690314195481,0.8387003609793839,1.1874654330161412e-07,0.05810434259066458
3,0.3766908275740668,0.2169686884055329,0.6335464735040838,0.39094508875010375,376,0.09973219806146393,10,1,0.734821471159994,0.9782313702618622,1.4720419855518194e-08,13.550398749457214
