tuning_scope,trial_number,best_iteration,best_cv_score,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,seed
full_data,12,1724,0.38793194084702654,0.021939308288506768,9,6,0.8838129988503957,0.7957716762981599,0.00016437764594884343,0.4472110604283289,42
full_data,7,1964,0.38893828829085164,0.017398074711291726,10,16,0.9697494707820946,0.9474136752138245,0.002404915432737351,5.378131812538259,42
full_data,14,547,0.39028226403015526,0.0703057891855127,9,5,0.9104151829291228,0.9460707215539826,2.895324117563463e-05,0.22718995953635907,42
full_data,6,1813,0.3935473706865907,0.011085122517311707,10,6,0.831261142176991,0.6558555380447055,0.0004793052550782129,0.00980727037423135,42
full_data,13,1643,0.3942887168986078,0.022986620375920752,8,17,0.9026683119805237,0.8059543329187164,0.018970064740230618,2.0271135897466195,42
full_data,0,788,0.3966783456791021,0.030710573677773714,10,15,0.7993292420985183,0.5780093202212182,2.5348407664333426e-07,2.655034658589387e-06,42
full_data,10,671,0.39726419955651604,0.046589863196059025,8,20,0.9775699684882246,0.8259332753890892,0.0015027010896820315,0.21499611376334174,42
full_data,11,1804,0.39768125581442976,0.010193060666576633,10,20,0.9636525010292981,0.6419296393992733,0.0018657766295790317,0.000252409529369278,42
full_data,9,1819,0.402584939821285,0.02911701023242742,5,11,0.5704621124873813,0.9010984903770198,4.6876566400928895e-08,16.043204759900526,42
full_data,3,1995,0.40452461568665865,0.01518747922672247,5,8,0.728034992108518,0.8925879806965068,6.267062696005991e-07,0.00568121283664997,42
full_data,1,172,0.4064489678138876,0.13394334706750485,7,15,0.5102922471479012,0.9849549260809971,0.310444354994832,3.5505384187732815e-05,42
full_data,5,366,0.4068261915308056,0.11265466963346032,5,2,0.8421165132560784,0.7200762468698007,1.254134495897175e-07,0.00412383683842393,42
full_data,2,2000,0.41243929552107167,0.017240892195821537,4,7,0.762378215816119,0.7159725093210578,4.17890272377219e-06,0.029319484979510348,42
full_data,8,1653,0.41375834876958034,0.01303561122512888,4,1,0.6626651653816322,0.6943386448447411,2.7678419414850017e-06,1.1236664468691575,42
full_data,4,655,0.41973176931197226,0.05898602410432694,3,13,0.5852620618436457,0.5325257964926398,3.4671276804481113,11.222986441621984,42
