variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-gamma,GammaGAM,1,0.243449746496531,0.15388468689217552,0.6448005055907375,0.24630852603365416,42,3,0.4975551821350672
gam-gamma,GammaGAM,2,0.24177345499017944,0.15224504047557463,0.6573820439919698,0.2466582952088127,50,3,1.284563602511231
gam-gamma,GammaGAM,3,0.2478788919930134,0.15416926717111204,0.6613145789464203,0.24319539781139835,45,4,0.13048053185644173
