variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-gamma,GammaGAM,1,0.4894162688209814,0.2799370095786099,0.41889096710594365,0.46481024967774637,10,4,2.2835950864610775
gam-gamma,GammaGAM,2,0.4650505649268177,0.27247558506879915,0.4555262382036841,0.48189628585981836,13,3,57.45585302191669
gam-gamma,GammaGAM,3,0.4702742059614489,0.2787219355143719,0.4288487488226821,0.47480645579545994,15,4,32.207793523631835
