outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.13128324743207015,0.07971239750367558,0.8967066631255518,0.14849747001226968,2000,0.010168305807533204,10,5,0.9196978016395372,0.8262499359629092,0.0001034410805798617,7.639637358341349e-06
2,0.13496433854522555,0.08188509586477644,0.8932344977031322,0.14537302171347666,1999,0.01920847846470397,10,19,0.9409121405782488,0.8232052812016968,8.402786115933026e-07,0.044620007094805555
3,0.1368188682851362,0.08095685333669393,0.8968167037154934,0.13920967034998089,2000,0.03772094682687785,9,6,0.8202597639286008,0.9044394866392952,0.001970650460046375,15.930841843273981
