outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.12961784732413878,0.07833838318627644,0.8993107062704033,0.08628067147312979,2000,0.010168305807533204,10,5,0.9196978016395372,0.8262499359629092,0.0001034410805798617,7.639637358341349e-06
2,0.13300711572769988,0.08004624345953193,0.896308623885237,0.0844566113288822,2000,0.021945044149182087,10,20,0.8946687901750746,0.8691297009094947,1.555968433408961e-08,0.03434559069072417
3,0.13701189722246654,0.07975102272316364,0.8965253489872445,0.08222168314055302,1990,0.03772094682687785,9,6,0.8202597639286008,0.9044394866392952,0.001970650460046375,15.930841843273981
