feature,global_rank,mean_abs_shap,importance_metric,importance_value,importance_ascending
prediction_sec,1,0.17832778025889406,mean_abs_shap,0.17832778025889406,False
attention_radius_m,2,0.0981973739167655,mean_abs_shap,0.0981973739167655,False
std_speed,3,0.09328591659130162,mean_abs_shap,0.09328591659130162,False
max_speed,4,0.07012409922687235,mean_abs_shap,0.07012409922687235,False
heading_change_per_sec,5,0.0388487037424826,mean_abs_shap,0.0388487037424826,False
min_neighbor_distance,6,0.02894739638289115,mean_abs_shap,0.02894739638289115,False
history_sec,7,0.021865572656027055,mean_abs_shap,0.021865572656027055,False
mean_acceleration,8,0.012796828153760216,mean_abs_shap,0.012796828153760216,False
