variant_model_id,variant_name,outer_rmse_mean,outer_rmse_std,outer_mae_mean,outer_mae_std,outer_r2_mean,outer_r2_std
gam-linear,LinearGAM (no log),0.43988182212993715,0.010785743274909112,0.2683506505881928,0.0017631365759933557,0.5148599804403493,0.009816995943479382
gam-linear-log,LinearGAM (log),0.44400160014330387,0.008712360485104494,0.25541436270417583,0.002565972241226108,0.5056950209352605,0.006844757599674358
gam-gamma,GammaGAM,0.47491367990308264,0.012828305437813678,0.2770448433872603,0.004003460057377353,0.4344219847107699,0.018942848011833834
