variant_model_id,variant_name,outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_n_splines,best_spline_order,best_lam
gam-linear,LinearGAM (no log),1,0.4521968143190493,0.2697675433456409,0.5039153151674702,0.4392120104896902,50,3,899.6065439127021
gam-linear,LinearGAM (no log),2,0.4353330471202266,0.2663761229439001,0.5228885086684382,0.4463659363680425,50,3,498.8475100186168
gam-linear,LinearGAM (no log),3,0.4321156049505354,0.2689082854750373,0.5177761174851393,0.4450011385465588,40,3,23.069903686396863
