outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.3968316568952039,0.21762915004685077,0.617882527530883,0.182769821170599,286,0.04329261332874588,9,17,0.8720963357097611,0.8274080951174305,0.0019107323197246446,0.20461717444606234
2,0.38991745724044136,0.21658799929856057,0.6111671794108848,0.18077614868351288,1221,0.010139529553137214,9,12,0.8731182207720923,0.841910289016984,5.682444184648047e-07,0.012568221442584997
3,0.3768680635774142,0.20916551028569935,0.6276483171751034,0.18001237809291562,207,0.0382412747065437,10,1,0.7420106644121576,0.9779798224663019,1.2656431433584027e-08,0.18899547871798547
