outer_fold,outer_rmse,outer_mae,outer_r2,inner_best_cv_rmse,best_iteration,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
1,0.3975235791050041,0.2254673477633873,0.6165488331867613,0.39860487614517526,188,0.04329261332874588,9,17,0.8720963357097611,0.8274080951174305,0.0020696117527503584,0.21366428100583795
2,0.3899076235463693,0.22390526798413993,0.6111867918427756,0.3995717747048699,197,0.025854501481384774,10,13,0.837194049450747,0.8483761352296277,9.031421133944389e-07,0.06656617520159684
3,0.37950251158561427,0.21850270071395092,0.6224243684453603,0.396355112320776,174,0.03217902652147979,10,6,0.7171179086473957,0.9631094294319116,2.5588588494226003e-08,0.22681950782011975
